Mineral_Name,LOCALITY,Type,Note
Krasnoselskite,Krasnoselskaya mine,1,"Krasnoselskaya mine in Krasnogorsk, Chelyabinsk basin, Ural Mountains, Russia"
Krettnichite,Krettnich,3,
Kribergite,KRlstineBERG mine,1,
Krupkaite,Krupka,1,
Kuannersuite-(Ce),Kuannersuit Plateau,1,
Kudriavite,Kudriavy volcano,1,For the volcano from which the first specimens were collected.
Kukisvumite,Mt. Kukisvumchorr,1,
Kularite,Kular,1,According to abundant finds of the mineral near Kular settlement in interfluve of Omoloi and Yana rivers.
Kuliokite-(Y),Kuliok River,1,
Kumdykolite,Kumdy Kol,1,The source of the first specimens
Kumtyubeite,Kum-Tyube,1,A mountain plateau where the mineral was found.
Kunatite,Kunat,2,
Kunlun Jade,Kunlun mountains,1,"Named for its occurrences in the eastern Kunlun mountains, Qinghai Province, China"
Kuramite,Kuramin Mountains,1,
Kuranakhite,Kuranakh deposit,1,
Kurgantaite,Kargan-tau,2,For the region that produced the first specimens.
Kurilite,Kuril arc,1,For the islands on which the first specimens were collected.
Kurumsakite,Kurumsak,1,
Kutnohorite,Kutná Hora,1,For its first described occurrence [the original label translated as kutnohorite].
Kvanefjeldite,Kvanefjeld mountain,1,
Kyrgyzstanite,Kyrgyzstan,4,
Kyzylkumite,Kyzylkum Desert,1,
Laachite,Laach lake,1,For the locality that produced the first specimens.
Labradorite,Labrador,1,
Lady's Slipper,Virtuous Lady mine,1,An epimorph of Siderite after Barite collected in reasonable numbers in the 19th century from the Virtuous Lady mine in Devon and widely distributed in collections worldwide.
Lafossaite,La Fossa Crater,1,
Laguna Agate,Ojo Laguna,1,"A colourful agate variety, originally described from Ojo Laguna, Chihuahua, Mexico."
Lahnsteinite,Lahnstein,3,
Laihunite,Laihe Fe deposit,1,
Lakargiite,Lakargi Mt.,1,
Lake County Diamonds,Lake County,1,"After the locality in which it occurs, the Clear Lake Highlands area, Lake County, California."
Lake Superior Agate,Lake Superior,1,"Believed to be the world's oldest agates, over 1 billion years old, these are found throughout the northern US having been spread from the original Lake Superior region by glaciation."
Lakebogaite,Lake Boga granite quarry,1,
Lanarkite,Lanarkshire,3,
Långbanite,Långban,1,
Långbanshyttanite,Långbanshyttan,1,"For the old name of the mine, smelter and mining village"
Langisite,Langis mine,1,
Lanmuchangite,Lanmuchang Tl-Hg deposit,1,
Lansfordite,"Lansford, Pennsylvania",3,
Lantian Jade,Lantian County,3,"For its occurrence in Lantian County of Shaanxi Province, China."
Lapieite,Lapie River,1,
Laplandite-(Ce),Lappland (Lapland),2,the region in which the Kola Peninsula lies.
Larimar,Larimar Mine,1,"Originally described from Filipinas Larimar Mine, Los Checheses, Sierra de Baoruco, Barahona Province, Dominican Republic."
Larnite,Larne,3,
Lasalite,"La Sal, San Juan County",3,
Latiumite,Latium,2,"the region of central western Italy that includes the type locality; this is the Latin form of the name, the modern name is Lazio."
Latrappite,La Trappe,3,"For the small community, near the mine from which the first crystals were recovered."
Lauraniite,Laurani Mine,1,"Laurani Mine, Laurani District, Aroma Province, La Paz, Bolivia"
Laurelite,"Laurel Canyon, Arizona",3,
Laurionite,Laurion,1,
Lautarite,Oficina Lautaro,3,
Lautenthalite,Lauthenthal,1,
Lautite,Lauta,3,
Låvenite,Isle of Låven,1,
Leadhillite,Leadhills,3,
Lehiite,Lehi,3,"After Lehi, Utah Co., Utah, USA, a location near the original find"
Lenaite,Lena River,3,
Lengenbachite,Lengenbach quarry,1,
Leningradite,Leningrad,3,"For the city of Leningrad (once and again St. Petersburg), in the Universities of which this and related minerals have been studied."
Leobenite,"Mt., Leoben",1,"For the original locality. Originally reported from Brandberg Mt., Leoben, Styria, Austria."
Leogangite,Leogang,3,
Lepkhenelmite-Zn,Lepkhe-Nel'm Mt (Lepkhe-Nelm; Nepkha),3,
Letovicite,Letovice,3,
Leviglianite,Levigliani,3,
Lewistonite,Lewiston,3,"After the locality at Lewiston, Utah, USA, which is located near the Fairfield, Utah phosphate deposit"
Libethenite,L'ubietová,1,For the locality from which it was first described
Likasite,Likasi,3,For the locality where it was first found
Lileyite,Liley,1,For the old name of the first known locality
Lillianite,Lillian mine,1,
Limaite,Ponte de Lima,3,"Originally reported from Cabanas Mine, Cabanas, Ponte de Lima, Viana do Castelo District, Portugal."
Linarite,Linares,3,
Lingbaoite,Lingbao,1,"S60 gold-quartz vein, Lingbao Co., Sanmenxia, Henan, China"
Linzhiite,Linzhi Prefecture,1,For the locality that produced the first samples.
Lisetite,Liset eclogite pod,1,
Liskeardite,Liskeard,3,For its first-noted occurrence
Lizardite,Lizard complex,1,
Llantenesite,Los Llantenes district,1,"Mina San Pedro, Los Llantenes district, Vinchina Department, La Rioja, Argentina"
Löllingite,Lölling district,3,
Lonecreekite,Lone Creek Fall Cave,1,
Lorettoite,Loretto,3,"After the locality of Loretto, Tennessee, USA."
Loudounite,Loudoun Co.,3,
Lovchorrite,Lovchorr Mt,1,"For the locality at Lovchorr Mt plateau, in the Khibiny massifa (Kola peninsula, north Russia)."
Lovozerite,Lovozero massif,1,
Luanheite,Luan [Luan He in Mandarin Chinese] River,1,
Luberoite,Lubero region,1,
Lublinite,Lublin,3,"Named after Lublin, Poland, the locality from which it was originally described."
Lucinite,Lucin,3,"After Lucin, Box Elder County, Utah, USA"
Ludjibaite,Ludjiba,1,
Lueshite,Lueshe mine,1,
Luinaite-(OH),Luina,3,
Lukkulaisvaaraite,Lukkulaisvaara intrusion,1,
Lumsdenite,Packrat mine,1,Named for the location of the Packrat mine (the type locality) at the head of Lumsden Canyon.
Lun'okite,Lun'ok River,3,
Lüneburgite,Lüneburg,3,
Luobusaite,"Luobusa Mine, Tibet",1,
Lusakite,Lusakite occurrence,1,"Originally reported from Lusakite occurrence, Lusaka, Lusaka Province, Zambia."
Lusernaite-(Y),Luserna valley,3,Named for the Luserna valley in which the first specimens were collected
Lussatite,Lussat,3,"After Lussat, near Pont-du-Chateau, Puy-de-Dome"
Lusungite,Lusungu River,1,"Аor the Lusungu River, Zaire"
Luxembourgite,Luxembourg,4,Named after the country in which the type locality is
Luzonite,Luzon Island,3,
Lyndochite,Lyndoch Township,3,"Named after the locality of Lyndoch Township, Ontario, Canada."
Macedonite,Macedonia,4,"For the country, where the mineral was discovered."
Mackinawite,Mackinaw mine,1,Washington
Madeira Citrine,Madeira,1,
Madeira topaz,Madeira,2,Derived from the locality of occurrence
Madocite,Madoc,3,
Magadiite,Lake Magadi,1,
Magnolite,Magnolia district,2,"For the district, Colorado, in which the species was first noted."
Maikainite,Maikain deposit,1,"For the deposit, that produced the first specimens studied."
Majakite,Majak (Mayak) mine,1,
Malanite,Malan Valley,3,
Malayaite,Malaya,2,
Maldonite,Maldon,3,
Maletoyvayamite,Maletoyvayam,1,"Gaching occurrence, Maletoyvayam ore field, Kamchatka Krai, Russia"
Mali Garnet,Mali,4,
Mallestigite,Mallestiger,3,For the town near the dumps from where the mineral was first noted.
Mammothite,Mammoth vein,1,"For the vein at Tiger, Arizona, from where the mineral was first noted, and the town of Mammoth, Arizona, USA, named for the mine."
Manaccanite,Manaccan,3,"Originally reported from Tregonwell Mill, Manaccan, Lizard Peninsula, Cornwall, England, UK."
Manandonite,Manandona River,1,
Manasi Jade,Manasi County,3,"Named for its occurrence in Manasi County, Xinjiang Province, China."
Mangazeite,Mangazeiskoe Sn-Ag deposit,1,
Manitobaite,Manitoba,2,
Maoniupingite-(Ce),Maoniuping mine,1,
Mapimite,Mapimí mining district,3,
Marathonite,Marathon deposit,1,
Marécottite,Les Marécottes,3,a village
Margaritasite,Margaritas deposit,1,
Maricopaite,"Maricopa Co., Arizona",3,
Mariinskite,Mariinskoe deposi,1,
Mariposite,Mariposa Co.,3,"Originally described from Mariposa Co., California, USA."
Markeyite,Markey Mine,1,
Marmarosch diamond,Marmarosch,1,Derived from the locality of occurrence
Marmaroscher Diamanten,Marmarosch county,1,"Named for an occurrence (near ""Vereczke"") in the 19th century Marmarosch county in Hungary (nowadays Maramures Co., Romania, and Transcarpathian Oblast', Ukraine)."
Marmatite,Marmato Mining District,1,"Marmatite is named from the German word marmatit, from the occurance at the Marmato Mining District, Mun. de Salamina, Caldas Department, Colombia."
Marokite,Morocco,4,Maroc in French
Marsyatskite,Marsyatsk deposits,1,
Mascareignite,Mascarene Archipelago,1,"The name refers to the topotype the Mascarene Archipelago, of which Reunion is a part."
Matildite,Matilda mine,1,
Matlockite,"Matlock, Derbyshire",3,
Mátraite,Matra Mountains,1,
Mattagamite,Mattagami Lake mine,1,
Matura Diamond,Matura,3,"Matura (Matara), town in southern Ceylon"
Mayenite,Mayen,3,
Mayingite,Maying village,3,
Mbobomkulite,Mbobo Mkulu Cave,1,
Mboziite,Mbozi Complex,1,"Mboziite was named after the type locality; the Mbozi Complex, which is situated on the edge of the Tunduma branch of the Rukwa Rift Valley, 50 miles south-west of Mbeya"
Mcalpineite,McAlpine mine,1,
McKittrite,McKittrick Dyke,1,"A bitumen from McKittrick Dyke, California, USA"
Meiling Jade,Xiaomeiling,3,"Named for the occurence at Xiaomeiling, Liyang County, Jiangsu Province, China."
Mejillonesite,Cerro Mejillones,1,
Melnikovite,Melnikov,1,"Melnikov, Saratov region"
Melonite,Melones mine,1,"For the mine in California, where it was discovered."
Menaccanite,Manaccan,3,"Originally reported from Tregonwell Mill, Manaccan, Lizard Peninsula, Cornwall, England, UK."
Mendigite,Mendig,3,"For the town in Germany, near the quarry that produced the first specimens."
Mendipite,"Mendip [Myne-deepes, Old English]",1,
Mendozite,Mendoza Province,2,For its originally described occurrence
Menilite,Ménilmontant,3,Named after locality.
Mereheadite,Merehead Quarry,1,
Merelaniite,Merelani Hills (Mererani),1,Named after the locality of its discovery in honor of the local miners
Meridianiite,Meridiani Planum,1,The locality on Mars where the MER rover Opportunity observed crystal molds in sedimentary rock that are thought to be caused by minerals that have since dehydrated or dissolved.
Mesaite,Mesa County,3,
Messelite,Messel,3,For the locality that produced the first specimens
Meta-ankoleite,Ankole,2,"For the district, from which it was first characterized."
Metalodèvite,Lodèv,3,The name is for locality near which the first specimens were collected.
Mexican diamond,Mexica,4,Derived from the locality of occurrence
Mexican Fire Opal,Mexico,4,A transparent red opal from Mexico.
Mexican Jade,Mexico,4,A variety of Jade from Mexico
Mexican Lace Agate,Mexico,4,Lacy or wavy agate from Mexico.
Meymacite,Meymac,2,"Originally applied to a mineral from Meymac, France, an alteration product of scheelite, later found to be ferritungstite. The name was, however, reinstated by the IMA CNMMN for this mineral, first described from Congo (Zaire), but which also occurs at Meymac, France."
Mianningite,Mianning county,3,
Miassite,Miass River,1,
Microsommite,Monte Somma,1,
Middlebackite,Middleback Range,1,
Mieite-(Y),Mie Prefecture,2,
Miessiite,Miessi river,1,
Miharaite,Mihara mine,1,
Mikasaite,Mikasa,3,
Milarite,Val Milµa (Milar),1,"After a spurious type locality, the Val Milµa (Milar), Switzerland [originally from the nearby Val Giuv, but later found in Val Milµa also]."
Minasgeraisite-(Y),Minas Gerais,2,
Minasragrite,Minasragra,1,
Minehillite,"Mine Hill, at Franklin, New Jersey",1,A place where the Franklin deposit was exposed at the surface.
Minium,river Minius,3,
Minjiangite,Minjiang River,3,"For the river, located near the Nanping pegmatite."
Minnesotaite,Minnesota,2,
Minohlite,Minoh City,3,
Minyulite,Minyulo Well,1,
Misakiite,"Sea of Misaki, located near the Sadamisaki Peninsula",3,
Misenite,Cape Miseno,3,
Mitridatite,Mt. Mithridat [named for King Mithridates],1,"Mt within the city of Kerch, Ukraine, near which the first specimens were collected."
Mocha Stone,Mocha,1,"Originally described from Mocha, Saudi Arabia."
Moctezuma Agate,Estacion Moctezuma,1,
Moctezumite,Moctezuma mine,1,
Modderite,Modderfontein mine,1,"Derivation not given; presumably named for the Modderfontein mine, South Africa."
Mogánite,"Mogán, Grand Canary Island",1,
Mogovidite,Mogo-Vid,3,"For the mountain, near the locality from which the first specimens were collected."
Mohawkite,Mohawk Mine,1,"Originally reported from Mohawk Mine, Mohawk, Keweenaw Co., Michigan, USA"
Mojave Blue Agate,Mojave Desert,1,Аrom the Mojave Desert in California
Mojaveite,Mojave Desert,3,
Moldavite,Moldau River,1,Name first introduced by Zippe (1836) after the main occurrence at the Vltava River (Moldau River) in Southern Bohemia.
Molinelloite,Molinello Mine,1,
Moncheite,Monche Tundra,3,
Monchetundraite,Monchetundra deposit,1,"Borehole 1819, Monchetundra deposit, Monche tundra intrusion, Monche-Tundra, Murmansk Oblast, Russia"
Monetite,Moneta Island,1,now Monito
Mongolite,Mongolia,4,
Monsmedite,Mons Medius,3,"From the Latin 'Mons Medius', for Baia Sprie, Romania, the locality for the mineral."
Montana ruby,Montana,2,Derived from the locality of occurrence
Montanite,Montana,2,
Montbrayite,Robb-Montbray mine,1,
Montdorite,"Mt. Dore stratovolcano, near La Bourboule",1,
Montebrasite,Montebras Mines,1,
Monteneveite,Monteneve Mine,1,"Monteneve Mine (Schneeberg Mine), Passiria Valley (Passeier Valley), Bolzano Province (South Tyrol), Trentino-South Tyrol, Italy"
Monteponite,Monteponi Mines,1,
Monteregianite-(Y),Monteregian Hills,3,
Montesommaite,Monte Somma,3,"For the volcano, which is ancestral to Vesuvius, Italy, in the remnants of which the mineral occurs."
Montetrisaite,Monte Trisa,1,
Montmorillonite,Montmorillon,1,
Montroseite,"Montrose Co., Colorado",3,
Montroyalite,Mont Royal,1,"For the Monteregian Hill, Mont Royal, prominent landmark in Montreal, Canada, from which the city's name was derived."
Mooihoekite,Mooihoek Farm,1,
Moolooite,Mooloo Station,1,
Mooraboolite,Moorabool River,1,"Originally reported from Moorabool River, Maude, Victoria, Australia."
Mopungite,"Mopung Hills, Nevada",3,
Moraskoite,Morasko village,3,"A village, where the meteorite (called the Morasko meteorite) fell. It contained the type material."
Mordenite,Morden,1,
Morrisonite,Morrison Formation,3,"For the formation, in which the Packrat mine and other U-V mines of the Uravan mineral belt occur."
Morvenite,Morven,2,"Named after Morven (now known as Morvern), a district that lies to the south of the Strontian mines"
Moschelite,Moschel-Landsberg mines,1,
Moschellandsbergite,Moschellandsberg,3,Landsberg for short
Mossite,Moss,3,"After the locality Berg which is located near the town of Moss, Norway"
Mottramite,"Mottram St. Andrew, Cheshire",1,
Motukoreaite,Motukorea,1,"From Motukorea, island of cormorants, the Maori name for Browňs Island, New Zealand."
Mounanaite,Mounana mine,1,For the locality that produced the first specimens.
Mountkeithite,Mount Keith deposit,1,
Mozambikite,Mozambik,4,
Mpororoite,Mpororo deposit,1,
Mt St Helens Stone,Mt St Helens,1,An artificial green glass supposedly made from ashes from the Mt St Helens eruption of 1980.
Muchuanite,Muchuan,1,"Muchuan Re-Mo-(Os) deposit, Muchuan Co., Leshan, Sichuan, China"
Mullanite,Mullan,3,"For the locality at the Gold Hunter Mine, Mullan, Idaho, USA"
Mullicite,Mullica Hill,1,"Mullica Hill, Gloucester Co., New Jersey, USA"
Mullite,Isle of Mull,1,
Munakataite,Munakata,3,"For the city, where the Kato mine, source of the first specimens, is located."
Mundrabillaite,Mundrabilla Station,1,
Munkforssite,Munkfors,3,"After the locality at Dicksberg, Ransäter parish, Munkfors, Värmland, Sweden."
Murchisite,Murchison,3,"The name murchisite is for the town of Murchison, Australia near which the meteorite was found. The name “murchisonite,” was not used because it was used during the nineteenth century as a synonym for orthoclase."
Murmanite,Murman coast,1,
Muromontite,Mauersberg,3,"From a latinised form of the type locality (Mauersberg, Annaberg-Buchholz, Erzgebirge, Saxony, Germany.)"
Murunskite,Murun massif,1,
Muscovite,Muscovy,1,"From Muscovy glass, for an occurrence in the old province of Muscovy"
Mushistonite,Mushiston deposit,1,
Muskoxite,Muskox intrusion,1,
Mutinaite,Mutina,1,"Named after ancient Latin name of Modena, a center of zeolite research."
Mutnovskite,Mutnovsky volcano,1,
Mutzschen Diamonds,Mutzschen,3,"Clear variety of quartz (rock crystal) from Mutzschen, Saxony."
Myrickite,Myrick Spring,1,"Originally described from Myrick Spring, San Bernardino Co., California, USA."
Mysorin,Mysore,2,Found in Karnataka (formerly Mysore) in southern India.
Nabimusaite,Nabi Musa,3,
Nadorite,Djebel Nador,1,
Naegite,Naegi pegmatite district,1,"For the Naegi pegmatite district, Japan, from where it was first described."
Nagyágite,Nagyág,3,After the Hungarian name of the type locality (Săcărâmb).
Nakaseite,Nakase gold mine,1,"Named for its type locality, the Nakase gold mine, Honshu Island, Japan"
Nakauriite,Nakauri,1,
Namibite,Namib Desert,1,
Nanlingite,Nanling area,3,
Nanpingite,Nanping area,3,
Nantokite,Nantoko,3,
Naquite,Naqu (Nagchu) Prefecture,2,
Narsarsukite,Narssarssuk pegmatite (Narsarsuk).,1,
Nataliakulikite,Nataliakulikite,1,"Nataliakulikite locality, Arad, Southern District (HaDarom District)"
Naujakasite,Naujakasik,1,
Nchwaningite,N'Chwaning II Mine,1,
Negevite,Negev Desert,3,
Népouite,Népoui,1,
Nepskoeite,"Nepskoe K salt deposit,",1,
Neskevaaraite-Fe,Neskevaara Hill,1,
Nesquehonite,"Nesquehoning, Pennsylvania",1,
Neustädtelite,Neustädtel,3,
Nevadaite,Nevada,2,For the US state from which the first specimens were collected.
Nevskite,Nevskoye W-Sn deposit,1,
Nevyanskite,Nevyansk,3,"After the locality Nevyansk, on the Neiva river, eastern slopes of the Middle Urals."
Nežilovite,Nežilovo,3,"15 km from Nežilovo, Pelagonian massif"
Niahite,the Niah Great Cave,1,
Nickenichite,Nickenicher Sattel (Eicher Sattel),1,
Nigerite,Nigeria,4,
Niigataite,Niigata prefecture,3,
Ningyoite,Ningyo Pass,3,
Nipomo Agate,Nipomo,3,"Originally described from Nipomo, San Luis Obispo Co., California, USA."
Nocerite,Nocera,1,"After the locality between Nocera and Sarno, Campania, Italy"
Nontronite,"Nontron, Dordogne",1,
Noonkanbahite,Noonkanbah sheep station,3,
Norbergite,Norberg,3,
Nordgauite,Nordgau,2,"For the oldest name for that part of northeastern Bavaria in which Hagendorf is situated, and where mining has taken place since the 13th century."
Norilskite,Noril'sk district,3,For the mining district in Russia that provided the first specimens.
Northstarite,North Star Mine,1,"North Star Mine (Star Consolidated Mine), Mammoth Peak, Mammoth, Tintic Mining District, Juab Co., Utah, USA"
Novodneprite,Novodneprovskoe deposit,1,
Nsutite,Nsuta,3,
Nukundamite,Nukundamu,3,
Nullaginite,Nullagine district,2,
Nussièrite,Nuissière,1,"After the locality at Nuizière (Nuissière Mine), Chenelette, Beaujeu, Rhône, Rhône-Alpes, France."
Nybøite,NybÄo eclogite,1,
Oerstedite,Aust-Agder,2,"Varietal name used by Forchhammer (1835) for a metamict/altered zircon from Arendal, Aust-Agder, Norway"
Ogdensburgite,Ogdensburg,3,
Ognitite,Ognit,1,"Named for the type locality, the Ognit (or Medek) dunite-wehrlite complex"
Ohmilite,Ohmi,1,
Öhrli-Diamanten,Öhrli,1,"Clear, doubly terminated quartz crystals in sedimentary rocks. Originally described from Öhrli, Alpstein, Switzerland."
Oisanite,Oisans,1,
Ojuelaite,Ojuela mine,1,
Okanoganite-(Y),Okanogan Co.,3,
Okayamalite,Okayama Prefecture,3,
Okhotskite,Sea of Okhotsk,1,
Oktibbehite,Oktibbeha Co.,3,"Originally described from Oktibbeha Co., Mississippi, USA."
Olekminskite,Olekminsk,3,
Olenite,Oleny Ridge,1,
Olkhonskite,Ol'khonskaya series,1,For the series of metamorphic rocks in which the mineral occurs.
Omeiite,Omeishan,1,
Ominelite,Omine Mountain,1,
Omongwaite,Omongwa pan,1,For the locality from which the first specimens were obtained
Omsite,Oms,3,
Onegite,Onega,1,"Originally described from Lake Onega, Wolf Island, Karelia Republic, Northern Region, Russia"
Onofrite,San Onofre,1,"Originally reported from San Onofre, Plateros, Zacatecas, Mexico"
Onofrite (of Köhler),San Onofre,1,"Originally reported from San Onofre, Plateros, Zacatecas, Mexico"
Ophirite,Ophir Hill Consolidated mine,1,
Ordite,Orda,1,"Originally described from Orda, Permskaya Oblast', Middle Urals, Urals Region, Russia."
Örebroite,ÄOrebro,3,
Oregonite,Oregon,2,
Orickite,Orick,3,
Oriental Amethyst,Asia,1,Due to the Asiatic origin of the stone
Oriental Emerald,Asia,1,Due to the Asiatic origin of the stone
Oriental Topaz,Asia,1,Due to the Asiatic origin of the stone
Orientite,Oriente Province,3,
Osakaite,Osaka Perfecture,3,
Osarizawaite,Osarizawa mine,1,
Osumilite,Osumi Peninsula,3,
Otavite,Otavi district,3,
Otjisumeite,Otjisume,1,the Herero name for Tsumeb
Ottoite,Otto Mountain,3,
Ottrélite,Ottré,1,
Oulankaite,Oulanka River,3,"the river, which passes near the type locality."
Ourayite,"Ouray, Colorado",3,
Ovamboite,Ovamboland region,2,
Owyhee Jasper,Owyhee,1,"Owyhee or Owhyhee is an older English spelling of Hawaiʻi, used in the late 18th and early 19th centuries."
Owyheeite,"Owyhee Co., Idaho",3,
Oyamalite,Oyama deposit,1,
Oyonite,Oyon district,2,Named after the Oyon district in which the type locality is located.
Ozarkite,Ozark Mountains,1,
Packratite,Packrat mine,1,
Padmaite,Srednyaya Padma mine,1,
Palagonite,Palagonia,3,"From Palagonia, Sicily"
Palermoite,"Palermo #1 mine, New Hampshire",1,
Palmeria Citrine,Palmeira,3,
Palmyra topaz,Palmyra,3,Derived from the locality of occurrence
Palygorskite,Palygorskaya Distance of Perm Railways,3,
Pampaloite,Pampalo,1,Named for the type locality.
Panasqueiraite,Panasqueira Mines,1,
Pandermite,Panderma,3,"Named after town of Panderma (now called Bandirma) in Balikesir province, Turkey, which is close to the general region of a borate mining district."
Pandoraite-Ba,Pandora Mine,1,"La Sal, La Sal District (Paradox Valley District), San Juan Co., Utah"
Pandoraite-Ca,Pandora Mine,1,"La Sal, La Sal District (Paradox Valley District), San Juan Co., Utah"
Parádsasvárite,Parádsasvár,3,For the locality that produced the first specimens
Paraíba Tourmaline,Paraíba,2,"After the original source - Paraíba, Brazil"
Paratooite-(La),Paratoo Copper Mine,1,For the locality that produced the first specimens
Pargasite,Pargas Valley,3,
Parsettensite,Parsettens Alpe,1,
Parwanite,Parwan lava caves,1,
Pascoite,Cerro de Pasco,3,
Patynite,Patyn Mt. Massif,1,"Synzas River, Kemerovo Oblast, Russia"
Pekoite,Peko mine,1,near the Juno mine
Pelagosite,Pelagosa Island,1,"Originally described from Palagruža Island (Pelagosa Island), Splitsko-dalmatinska Co., Croatia"
Pelhamine,Pelham,3,"For the locality at Pelham, Massachusetts, USA."
Pellyite,Pelly River,3,near the headwaters of this river it was first recognized.
Penberthycroftite,Penberthy Croft mine,1,
Pennine,Pennines,1,"The Pennines /ˈpɛnaɪnz/, also known as the Pennine Chain or Pennine Hills, are a range of mountains and hills in England separating North West England from Yorkshire and North East England."
Penobsquisite,Penobsquis,3,
Penzhinite,Penzhina River,3,near the Kamchatka Peninsula
Peretaite,Pereta mine,1,
Perthite,Perth,3,Named for the nearby city of Perth in Ontario. The type locality is 6 miles (approx 9.5 km) southwest of Perth
Petrovicite,Petrovice deposit,1,
Philipsburgite,"Philipsburg, Montana",3,
Philipstadite,Philipstad,1,Due to its locality
Pianlinite,Pianling,3,"Pianling, Xiuyan Co., Anshan Prefecture, Liaoning Province (Manchuria), China."
Piemontite,Piemonte (Piedmont) region,2,
Pigeonite,Pigeon Point,1,
Pilawite-(Y),Piława Górna (Ober Peilau; Gnadenfrei),3,
Pilsenite,Nagybörzsöny (Deutsch-Pilsen),3,
Pinalite,Pinal Co.,3,
Pingguite,Pinggu Co.,3,
Pinite,Pini adit,1,"First reported from Pini adit, Aue, Erzgebirge, Saxony, Germany."
Pintadoite,Pintado Canyon,1,
Pirquitasite,Pirquitas deposit,1,
Písekite-(Y),"Pisek, Bohemia",1,
Pitiglianoite,Pitigliano,3,
Pittongite,Pittong,3,
Pizgrischite,Piz Grisch,1,
Plaffeiite,Plasselb,1,"Name for an upper paleozoic (Gurnigelflysch formation) amber from Switzerland (Höllibach near Plasselb, not far from Plaffeien, ca. 15 km SE of Fribourg)."
Plavnoite,Plavno mine,1,
Plombièrite,Plombières-les-Bains,3,
Plumbotsumite,TSUMeb,3,
Polarite,Polar Ural Mountains,1,
Polkovicite,Polkovice mine,1,
Polloneite,Pollone Mine,1,
Polyphant Stone,Polyphant,3,"Polyphant (Cornish: Pollefans), recorded as Polefant c. 1170, is a village in east Cornwall, England, United Kingdom"
Porpezite,Porpez,1,"Named by Frobel after a Brazilian locality now lost. Dana7, p 91,(1944) references [""Porpez"" (Pompeo ?), Taguaril and other localities in Minas Gerais and Goyaz, Brazil]."
Potarite,Potaro River,1,
Potosíite,Potosi,3,
Pottsite,"Potts, Lander Co., Nevada",3,
Pradetite,"Pradet, Var",3,
Pretulite,mountain Pretul,3,"Pretulite was first discovered at Fürstenbauer, located on the northwestern slope of Pretul Mt."
Příbramite,Příbram,3,
Prixite,Saint-Prix,3,"Originally reported from Les Molérats Mine, Saint-Prix, Beuvray, Saône-et-Loire, Burgundy, France."
Przibramite (of Huot),Przibram,1,For its type locality
Pucherite,"Pucher shaft, Schneeberg",1,
Punkaruaivite,"Mt. Punkaruaiv, Kola Peninsula",1,
Putoranite,Putoran Mountain,2,east of Noril'sk
Qandilite,Qandil Group,2,
Qaqarssukite-(Ce),Qaqqaarsuk (Qaqarssuk),3,
Qatranaite,Qatranaite locality,1,
Qilianshanite,Qilian Mountains,2,Qilian Shan in Chinese
Qingheiite,Qinghe Co,3,
Qitianlingite,Qitianling,1,
Quijarroite,Quijarro Province,2,"For the type locality, El Dragón mine is located."
Quinzite Opal,Quincy-sur-Cher,3,"A variety of Opal originally described from Quincy-sur-Cher, Bourges, Cher, Centre, France."
Quisqueite,Quisque District,2,"Originally described from Quisque District, Cerro de Pasco, Alcides Carrión Province, Pasco Department, Peru."
Qusongite,Qusong Co.,2,
Rabejacite,Rabe´jac deposit,1,
Ramazzoite,Ramazzo Mine,1,"Mt. Ramazzo Mine, Borzoli, Genova, Genova Province, Liguria, Italy"
Ramsbeckite,Ramsbeck,3,
Ranciéite,Rancie´,1,For its first-noted occurrence
Randannite,Randan,3,
Rankachite,Rankach Valley,3,
Ransätite,Ransäter,3,"Originally reported from Bliabergen, Ransäter, Munkfors, Värmland, Sweden"
Rapidcreekite,Rapid Creek district,3,
Rappoldite,Rappold Mine,1,
Raslakite,Raslak cirque,1,
Rasvumite,Mt. Rasvumchorr,1,
Ratovkite,Ratovskii gully,1,According to its first locality
Rauenthalite,Rauenthal vein system,1,
Ravatite,Ravat,3,
Reaphookhillite,Reaphook Hill,1,"Martins Well, South Flinders Ranges, Flinders Ranges, South Australia"
Redcanyonite,Red Canyon,1,
Reddingite,Redding Township,3,
Redgillite,Red Gill Mine,1,
Redingtonite,Redington mine,1,
Redledgeite,Red Ledge mine,1,
Redondite,Redonda island in the Lesser Antilles.,1,
Reichenbachite,Reichenbach,1,
Rengeite,Mt. Renge and the Renge metamorphic belt,1,
Reppiaite,Reppia,3,
Revdite,Revda,3,"a town near Mt. Karnasurt, on which the mineral occurs."
Rezbanyite (of Frenzel),Rezbánya,3,"After the locality at Rezbánya, Romania"
Rhenium,Rhine River,3,
Rhönite,"Rhön Mountains, near Fulda, Hesse",1,
Richellite,Richelle,1,
Richelsdorfite,Richelsdorf Mountains,3,
Ricolite,Ricolite District,2,"Ash Creek, Ricolite District, Grant Co., New Mexico, USA"
Riesite,"Nördlinger Ries Crater, Swabia, Bavaria",1,
Riomarinaite,Rio Marina Mine,3,
Riotintoite,Rio Tinto Mine,1,
Risörite,Risör,3,"After the locality at Gryting, near Risör, Norway."
Riversideite,Riverside Co.,2,
Rockbridgeite,Rockbridge Co.,2,
Rodalquilarite,Rodalquilar,3,
Rogueite,Rogue River,1,Jasper from the Rogue River in Oregon
Romanèchite,Romanèche,3,
Ronneburgite,Ronneburg Uranium Deposit,1,
