name,relation,note
Hydroxylwagnerite,Wagnerite,Indicates the hydroxyl analogue of wagnerite.
Hydroxymanganopyrochlore,Pyrochlore Group,Reflects the mineral's identity as a member of the pyrochlore group with dominant OH (hydroxyl) and Mn 2+
Hydroxynatromicrolite,Microlite,As a member of microlite group
Hydroxynatropyrochlore,Natropyrochlore Root,From its relationship to Natropyrochlore
Hydroxyplumbopyrochlore,Plumbopyrochlore Root,From its relationship to Plumbopyrochlore
Hydroxyuvite,Uvite,From its relationship to Uvite
Hydrozincite,Zincite,"For the non-carbonate essential chemical components, water and zinc."
Iimoriite-(Y),,For the yttrium in the composition.
Ilímaussite-(Ce),Ilimaussite-(Ce),Suffix was added due to Ce content
Ilmajokite-(Ce),Ilmajokite,Suffix was added due to Ce content
Ilmenorutile,Rutile,"For the occurrence in the Ilmen Mountains, Russia, and relation to rutile."
Incomsartorite,Sartorite,As a member of Sartorite homologous series.
Indite,Indium,For the indium in its composition.
Indium,,From its indigo blue emission spectrum.
Iodargyrite,,"From IODine and the Greek for silver, ARGYRos, in the composition."
Iodcarnallite,Carnallite,Artificial Iodine analogue of Carnallite
Iodian Bromargyrite,Bromargyrite,An iodine-bearing variety of bromargyrite.
Iodian Bromian Chlorargyrite,Chlorargyrite,"A silver halide containing substantial amounts of Cl, Br and I"
Iodine,,In allusion to its chemical composition
Irarsite,,For IRidium and ARSenic in the composition.
Iridarsenite,,For the IRIDium and ARSENic in the composition.
Iridian Awaruite,Awaruite,An iridian-bearing variety of Awaruite.
Iridian Gold,Gold,An iridium-rich variety of gold.
Iridian isoferroplatinum,Isoferroplatinum,Isoferroplatinum with Ir content 8 wt.% and more
Iridian tulameenite,Tulameenite,Tulameenite with Ir content up to 20 wt.%.
Iridisite,,Due to chemical composition with essential Ir
Iridosmine,,"For the composition, intermediate between iridium and osmium."
Iridrhodruthenium,Ruthenium,A variety of ruthenium rich in rhodium and iridium.
Irite,,In allusion of its chemical composition
Iron-magnesia Spinel,Spinel,A ferroan variety of spinel.
Isoferroplatinum,Platinum,"For the cubic (ISOmetric) structure, and iron (FERRum) and PLATINUM in its composition."
Ivanyukite-Cu,Ivanyukite Group,For its relation to Ivanyukite and Cu content
Ivanyukite-K,Ivanyukite Group,For its relation to Ivanyukite and K content
Ivanyukite-Na,Ivanyukite Group,For its relation to Ivanyukite and Na content
Ivanyukite-Na-C,Ivanyukite Group,A polytype of Ivanyukite-Na. Formed by partial hydration of ivanyukite-Na-T.
Ivanyukite-Na-T,Ivanyukite Group,A polytype of Ivanyukite-Na
Jahnsite-(CaFeFe),Jahnsite,For a jahnsite group mineral with dominant Ca in the X site and Fe2+ and Mg in the M1 and M2 sites.
Jahnsite-(CaFeMg),Jahnsite,For a jahnsite group mineral with dominant Ca in the X site and Fe2+ and Mg in the M1 and M2 sites.
Jahnsite-(CaMgMg),Jahnsite,"For a jahnsite group mineral the suffix indicates sequentially the dominant atom in the X, M(1), and M(2) structural positions."
Jahnsite-(CaMnFe),Jahnsite,"For a jahnsite group mineral the suffix indicates sequentially the dominant atom in the X, M(1), and M(2) structural positions."
Jahnsite-(CaMnMg),Jahnsite,"For a jahnsite group mineral the suffix indicates sequentially the dominant atom in the X, M(1), and M(2) structural positions."
Jahnsite-(CaMnMn),Jahnsite,"For a jahnsite group mineral the suffix indicates sequentially the dominant atom in the X, M(1), and M(2) structural positions."
Jahnsite-(CaMnZn),Jahnsite,"For a jahnsite group mineral the suffix indicates sequentially the dominant atom in the X, M(1), and M(2) structural positions."
Jahnsite-(MnMnFe),Jahnsite,"For a jahnsite group mineral the suffix indicates sequentially the dominant atom in the X, M(1), and M(2) structural positions."
Jahnsite-(MnMnMg),Jahnsite,"For a jahnsite group mineral the suffix indicates sequentially the dominant atom in the X, M(1), and M(2) structural positions."
Jahnsite-(MnMnMn),Jahnsite,"For a jahnsite group mineral the suffix indicates sequentially the dominant atom in the X, M(1), and M(2) structural positions."
Jahnsite-(MnMnZn),Jahnsite,"For a jahnsite group mineral the suffix indicates sequentially the dominant atom in the X, M(1), and M(2) structural positions."
Jahnsite-(NaFeMg),Jahnsite,"For a jahnsite group mineral the suffix indicates sequentially the dominant atom in the X, M(1), and M(2) structural positions."
Jahnsite-(NaMnMg),Jahnsite,"For a jahnsite group mineral the suffix indicates sequentially the dominant atom in the X, M(1), and M(2) structural positions."
Jahnsite-(NaMnMn),Jahnsite,"For a jahnsite group mineral the suffix indicates sequentially the dominant atom in the X, M(1), and M(2) structural positions."
Joaquinite-(Ce),Joaquinite,"The mineral is related to joaquinite, the suffix denotes the cerium content"
Joséite-A,Joséite,"For its relationship to joséite, also an indefinite species."
Joséite-B,Joséite,"For its relationship to joséite, also an indefinite species."
Joséite-C,Joséite,"For its relationship to joséite, also an indefinite species."
Julgoldite-(Fe2+),Julgoldite,For the composition and relation to Julgoldite
Julgoldite-(Fe3+),Julgoldite,For the composition and relation to Julgoldite
Julgoldite-(Mg),Julgoldite,For the composition and relation to Julgoldite
K Feldspar,Feldspar,K-bearing members of feldspar group
Kafehydrocyanite,,Named for it's composition.
Kalborsite,,"For potassium, KALium, BORate, and SIlicon in the composition."
Kaliborite,,"For potassium, KALIum, and BORate in the composition."
Kalicinite,,"For potassium, kalium, in the composition."
Kalifersite,,"For the chemical composition: KALIum (Potassium), FERrum (Iron), and SIlicium (Silicon)."
Kalinite,,"For its potassium, kalium, content. Here applied to a partially characterized fibrous birefringent mineral, distinct from cubic potassium alum."
Kaliochalcite,Natrochalcite,"As the potassium (kalium, in Latin) analog of natrochalcite."
Kalipyrochlore (of Hogarth 1977),Pyrochlore Group,"Originally for a member of the pyrochlore group with significant potassium, KALIum, although recent work shows only a minor amount of that element in natural material."
Kalistrontite,,"For potassium, KALIum, and STRONTium in the composition."
Kalsilite,,"For potassium, Kalium, ALuminum, and SILicate in the composition."
Karnasurtite-(Ce),,For its high cerium content.
Katiarsite,,"For the mineral's chemical composition, kalium titanyl arsenate."
Keiviite-(Y),,For the relation to keiviite-(Yb) and the yttrium content.
Kenoargentotetrahedrite-(Fe),Tetrahedrite,As an Ag and Fe variety of Tetrahedrite with vacancies
Kenoplumbomicrolite,Microlite,"Named according to the pyrochlore supergroup nomenclature (Atencio et al. 2010). Keno is Greek for empty, for the vacant ionic position, plumbo is derived from the Latin for lead, and the microlite part of the name is for the relationship to that mineral group."
Kenotobermorite,Tobermorite,Its relation to tobermorite. The prefix keno indicates the Ca-free nature of the structural cavities of this member of the tobermorite group.
Knasibfite,,"Named for its chemical composition (K, Na, Si, B, F)."
Kobaltfahlerz,Fahlerz,A cobaltian (and bismuthian) variety of tetrahedrite. Tennantite-Tetrahedrite Series commonly known as 'fahlore'.
Kozoite-(La),Kozoite,"In allusion to its composition with dominant lanthanum, and its relationship to Kozoite."
Kozoite-(Nd),Kozoite,"In allusion to its composition with dominant Nd, and its relationship to Kozoite."
Kuannersuite-(Ce),,"A suffix for the dominant rare earth element, Cesium."
Kukharenkoite-(Ce),Kukharenkoite,As the Ce-dominant analog of kukharenkoite.
Kukharenkoite-(La),Kukharenkoite,As the Lanthanum-dominant analog of kukharenkoite.
Kuliokite-(Y),,Yttrium in its composition.
Kupletskite-(Cs),Kupletskite,For the cesium in the composition and similarity to kupletskite.
Kuzmenkoite-Mn,Kuzmenkoite,Named for its relationship to kuzmenkovite group.
Kuzmenkoite-Zn,Kuzmenkoite,Named for its relationship to kuzmenkovite group.
Kyanoxalite,,Name reflects the the presence of oxalate
Labuntsovite-Fe,Labuntsovite,Named as the Fe dominant member of the labuntsovite subgroup.
Labuntsovite-Mg,Labuntsovite,Named as the Mg dominant member of the labuntsovite subgroup
Labuntsovite-Mn,Labuntsovite,This is the original labuntsovite. It is now designated labuntsovite-Mn for the dominance of manganese among the divalent cations.
Lanthanite,,"In allusion to the composition, containing lanthanide series elements"
Lanthanite-(Ce),Lanthanite,"For its relation to lanthanite, and preponderance of cerium over other rare-earth elements."
Lanthanite-(La),Lanthanite,For dominant lanthanum in its composition and relation to Lanthanite.
Lanthanite-(Nd),Lanthanite,For the preponderance of neodymium over other rare-earth elements and relation to Lanthanite.
Lead Glass,Glass,A glass containing up to 24% of lead(II) oxide (PbO).
Leadamalgam,,"For the composition, by analogy to mercury-silver amalgam."
Lecoqite-(Y),,for the dominant rare earth element in its composition.
Lemmleinite-Ba,Lemmleinite,"Named in allusion to its composition with dominant barium, and its relationship to Lemmleinite"
Lemmleinite-K,Lemmleinite,"Named in allusion to its composition with dominant K, and its relationship to Lemmleinite"
Lepersonnite-(Gd),,suffix for its gadolinium content.
Lepkhenelmite-Zn,,"For the dominant element in the D structural site, Zn."
Leucophosphite,,"the prefix PHOSPHate, in allusion to its colour and composition as a phosphate."
Leucorhönite,Rhönite,The Mg analogue of rhönite.
Lévyne-Ca,Lévyne,For its relation to Lévyne and Ca-dominant element
Lévyne-Na,Lévyne,For its relation to Lévyne and Na-dominant element
Liberite,,Presumably for LIthium and BERyllium in the composition.
Lime-Bronzite,Bronzite,A Calcian Bronzite
Lime-Dravite,Dravite,A variety of Dravite
Lime-Malachite,Malachite,A variety of Malachite
Limestone,,A sedimentary rock composed dominantly of calcium (lime in oxide form)
Lintisite,,"For LIthium, sodium (Natrium), TItanium, and SIlicon in the composition."
Lithia amethyst,,Due to chemical composition
Lithia emerald,,Due to chemical composition
Lithian excess-boron olenite,Olenite,A lithium-bearing and excess boron variety of olenite.
Lithian Magnesite,Magnesite,A lithium-rich variety of magnesite.
Lithian Muscovite,Muscovite,A lithium-bearing variety of Muscovite.
Lithian Saponite,Saponite,A Li-bearing saponite.
Lithian Wad,Wad,A lithium-bearing wad.
Lithiomarsturite,Marsturite,As the lithium analogue of marsturite.
Lithiophilite,,For its lithium content
Lithiophorite,,For its content of LITHIum
Lithiophosphate,,For its content of lithium and phosphate.
Lithiotantite,,For LITHIum and TANTalum in its composition.
Lithiowodginite,Wodginite,For the dominant LITHium content and relation to wodginite.
Lithium Muscovite (of Levinson),Muscovite,A lithium-bearing variety of Muscovite.
Lithium Quartz,Quartz,"A name in common trade use for a pink/purple translucent to opaque variety of quartz, possibly containing inclusions of a lithium-rich mineral such as lepidolite - however it could equally be a misleading/incorrect name, and should be regarded a simply a coloured quartz until further investigation on this material is done."
Lithium Tosudite,Tosudite,A clay mineral with a 1:1 regular interstratification of trioctahedral Li chlorite Cookeite and dioctahedral Smectite.
Liujinyinite,,"From the transliteration of the Chinese name 硫金银矿 where 硫 (Liu) means sulphur, 金 (Jin) means gold, 银 (Yin) means silver and 矿 (Kuang) means mineral."
Lusernaite-(Y),,a suffix of the chemical symbol of the dominant rare earth element.
Magbasite,,For MAGnesium and BArium in its chemical composition.
Maghagendorfite,Hagendorfite,As the magnesium analog of hagendorfite.
Maghemite,Magnetite,"From MAGnetite and HEMatite, in allusion to the mineral's magnetism and composition."
Magnesian Annabergite,Annabergite,A magnesian variety of Annabergite.
Magnesian clinoferrosilite,Clinoferrosilite,Mg-variety of Clinoferrosilite
Magnesian Goslarite,Goslarite,A magnesium-bearing variety of Goslarite.
Magnesian Grossular,Grossular,A Mg-bearing grossular
Magnesian Menaccanite,Menaccanite,A variety of Ilmenite
Magnesian Morenosite,Morenosite,"A magnesium-bearing variety of morenosite, containing Mg in substitution for Ni up to the 1:1 ratio with Mg"
Magnesian Schorl,Schorl,A magnesium-bearing schorl
Magnesio-aluminokatophorite,Katophorite,As a katophorite group species with Mg and Al as the dominant elements in the C position
Magnesio-arfvedsonite,Arfvedsonite,For magnesium in its composition and similarity to arfvedsonite.
Magnesio-cummingtonite,Cummingtonite,For magnesium in its composition and similarity to cummingtonite.
Magnesio-ferri-fluor-katophorite,Katophorite,"As Fe, F and Mg analogue of katophorite"
Magnesio-ferri-fluoro-hornblende,Hornblende,For a calcium amphibole with dominant magnesium and ferric iron in the C site and fluorine dominant in the W site.
Magnesio-ferri-hornblende,Hornblende,For a calcium amphibole with dominant Mg in the C site and Fe dominant in the W site.
Magnesio-ferrikatophorite,Ferri-katophorite,The name magnesio-ferrikatophorite was redefined as ferri-katophorite.
Magnesio-fluoro-arfvedsonite,Arfvedsonite,For Mg and F in its composition and similarity to arfvedsonite.
Magnesio-fluoro-hastingsite,Hastingsite,"Signifies an amphibole in the compositional range of magnesio-hastingsite with F > Cl, OH."
Magnesio-fluoro-hornblende,Hornblende,For a calcium amphibole with dominant Mg in the C site and F dominant in the W site.
Magnesio-fluoro-riebeckite,Fluoro-riebeckite,Magnesio-fluoro-riebeckite is defined as a member of the riebeckite group with Mg>Fe2+ in the C2+ position and F in the W position.
Magnesio-foitite,Foitite,As the magnesium analog of foitite.
Magnesio-hastingsite,Hastingsite,For magnesium in its composition and relation to hastingsite.
Magnesio-hornblende,Hornblende,For magnesium in its composition and relation to hornblende.
Magnesio-katophorite,Katophorite,For magnesium in its composition and its relation to katophorite.
Magnesio-lucchesiite,Lucchesiite,The Mg analogue of lucchesiite.
Magnesio-riebeckite,Riebeckite,For its high magnesium content and similarity to riebeckite.
Magnesioastrophyllite,Astrophyllite,A magnesian variety of Lobanovite (Astrophyllite Supergroup)
Magnesioaubertite,Aubertite,"For its content of magnesium greater than copper, and relation to aubertite."
Magnesiobeltrandoite-2N3S,Beltrandoite Root,For magnesium Beltrandoite with 2N3S structure
Magnesiobermanite,Bermanite,The Mg analogue of bermanite.
Magnesiocanutite,Canutite,For magnesium in its composition and its relation to canutite.
Magnesiocarpholite,Carpholite,As the magnesium analog of carpholite.
Magnesiochloritoid,Chloritoid,For magnesium in its composition and its relation to chloritoid.
Magnesiochlorophoenicite,Chlorophoenicite,For its magnesium content and similarity to chlorophoenicite.
Magnesiochromite,Chromite,For a MAGNESIum-rich chromite.
Magnesiocopiapite,Copiapite,For its magnesium content and relation to copiapite.
Magnesiocoulsonite,Coulsonite,For its dominant MAGNESIum content and relation to coulsonite.
Magnesiodumortierite,Dumortierite,The magnesium dominant analogue of Dumortierite.
Magnesioferrite,,"From the composition, with dominant MAGNESium and FERRic iron."
Magnesiofluckite,Fluckite,The Mg analogue of fluckite.
Magnesiohatertite,Hatertite,The Mg analogue of hatertite.
Magnesiohulsite,Hulsite,As the magnesium analog of hulsite.
Magnesiokoritnigite,Koritnigite,As the magnesium-analogue of koritnigite.
Magnesioleydetite,Leydetite,Named as the Mg analogue of leydetite
Magnesiomargarite,Margarite,Mg-bearing variety of margarite.
Magnesioneptunite,Neptunite,As the magnesium analog of neptunite.
Magnesiopascoite,Pascoite,As the magnesium analog of Pascoite.
Magnesiorowlandite-(Y),Rowlandite-(Y),As the magnesium analog of rowlandite-(Y).
Magnesiosadanagaite,Sadanagaite,Signifies an amphibole in the compositional range of sadanagaite with Mg dominant in the C structural site.
Magnesiostaurolite,Staurolite,"Named in allusion to its composition, with its chemical composition with dominant magnesium, and its relationship to Staurolite."
Magnesiotaaffeite-2N'2S,Magnesiotaaffeite Root,As the magnesium member of taaffeite group.
Magnesiotaaffeite-2N'2S2,Magnesiotaaffeite Root,As the magnesium member of taaffeite group.
Magnesiotaaffeite-6N'3S,Magnesiotaaffeite Root,As the magnesium member of taaffeite group.
Magnesiotaramite,Taramite,For magnesium in its composition and similarity to taramite.
Magnesiovesuvianite,Vesuvianite,The Mg analogue of vesuvianite and cyprine (of Panikorovskii et al); also the Mg-(OH) analogue of manganvesuvianite.
Magnesiovoltaite,Voltaite,As an analog of voltaite and zincovoltaite with Mg dominant at the M1 structural position.
Magnesiowüstite,Wüstite,A variety of Wüstite
Magnesiozippeite,Zippeite,For its content of magnesium and relation to zippeite.
Magnesite,,For magnesium in the composition.
Magnesium,,In allusion to its chemical composition
Magnesium Tosudite,Tosudite,A variety of Tosudite
Magnesiumzinnwaldite,Zinnwaldite,As a Mg-bearing member of Zinnwaldite series
Magnetoilmenite,Ilmenite,A ferrian variety of ilmenite.
Magnetoplumbite,,"For being a MAGNETic oxide of iron, manganese, and lead, plumbum."
Magniotriplite,Triplite,Named as the Mg analogue of triplite
Magnioursilite,,Named for chemical composition.
Magnochromite,Spinel,A chromian variety of spinel.
Magnocolumbite,Columbite,"The name refers to the relationship to the other columbite group species, with dominant magnesium."
Manaksite,,"For MAnganese; sodium, NAtrium; potassium, Kalium; and SIlicon in its composition."
Mangan-diaspore,Diaspore,In allusion to the manganese content and the relationship to diaspore.
Manganapatite,Apatite,In allusion to its chemical relationship to apatite
Manganarsite,,For MANGANese and ARSenic in the composition.
Manganbabingtonite,Babingtonite,For the manganese content and relation to babingtonite.
Manganbelyankinite,Belyankinite,"For its MANGANese content, and relation to belyankinite."
Manganberzeliite,Berzeliite,For the manganese dominant analogue of berzeliite.
Manganbrucite,Brucite,In allusion to the manganese content and relationship to brucite.
Manganese,,"The native element, described in 2001 without I.M.A. approval."
Manganese Dendrites,Manganese Oxides,A variety of Manganese Oxides. Black dendritic films of various visually indistinguishable black manganese oxides
Manganese Oxides,,A generic name given to manganese oxides and hydroxides of mixed composition.
Manganese-bearing Apatite-(CaOH),Apatite,A variety of Hydroxylapatite containing Mn2+ substituting for Ca up to at least Mn:Ca = 1:7.7.
Manganflurlite,Flurlite,The Mn analogue of flurlite.
Mangangordonite,Gordonite,As the manganese analog of gordonite.
Mangangoslarite,Goslarite,A manganoan variety of Goslarite.
Manganhumite,Humite,For manganese in the composition and relation to humite.
Mangani-dellaventuraite,,Mangani-dellaventuraite is a dellaventuraite root name amphibole in the WO2- dominant amphibole with Mn3+ as the dominant element in the C3+ position.
Mangani-obertiite,,Mangani-obertiite is a obertiite root name amphibole in the WO2- dominant amphibole group with Mg as the dominant element in the C2+ position and Mn3+ as the dominant element in the C3+ position.
Mangani-pargasite,Pargasite,The Mn(III) analogue of pargasite.
Manganiakasakaite-(La),Ferriakasakaite-(La),Mn3+-dominant analogue of Ferriakasakaite-(La).
Manganiandrosite-(Ce),Manganiandrosite Root,The Ce analogue of manganiandrosite.
Manganiandrosite-(La),Manganiandrosite Root,The La analogue of manganiandrosite.
Manganiceladonite,Celadonite,"Named for “celadonite” and “mangani”, in allusion to the dominant Mn3+ trivalent octahedral cation instead of Fe3+."
Manganilmenite,Ilmenite,A manganian variety of ilmenite.
Manganilvaite,Ilvaite,As the Mn-analogue of ilvaite.
Manganipiemontite-(Sr),Piemontite-(Sr),Due to chemical similarity to Piemontite-(Sr)
Manganite,,For MANGANese in the composition.
Manganlotharmeyerite,Lotharmeyerite,As a manganese compound analogous to Lotharmeyerite
Manganmagnetite,Magnetite,In allusion tom its manganese content and identity as magnetite.
Mangano-ferri-eckermannite,Eckermannite,Mangano-ferri-eckermannite is defined with Mn dominant C3+ position and Fe dominant W position
Mangano-mangani-ungarettiite,Ungarettiite,Mangano-mangani-ungarettiite is a ungarettiite root name amphibole in the WO2- dominant amphibole group with Mn2+ as the dominant element in the C2+ position and Mn3+ as the dominant element in the C3+ position.
Manganoan Adamite,Adamite,A manganiferous variety of Adamite.
Manganoan Ankerite,Ankerite,A manganese-bearing variety of ankerite.
Manganoan Calcite,Calcite,A calcite rich in manganese.
Manganoan Cobaltlotharmeyerite,Cobaltlotharmeyerite,A variety of Cobaltlotharmeyerite
Manganoan Dolomite,Dolomite,A Mn-bearing dolomite.
Manganoan Epsomite,Epsomite,A manganoan epsomite.
Manganoan Gahnite,Gahnite,A variety of Gahnite
Manganoan Goldmanite,Goldmanite,A variety of Goldmanite
Manganoan Grossular,Grossular,A variety of Grossular
Manganoan Hedenbergite,Hedenbergite,A variety of Hedenbergite
Manganoan Ilmenite,Ilmenite,A manganese-bearing variety of ilmenite
Manganoan Jamesonite,Jamesonite,A Mn-bearing variety of jamesonite.
Manganoan Melanterite,Melanterite,A manganoan melanterite
Manganoan Pectolite,Pectolite,A manganese-bearing variety of pectolite.
Manganoan Phlogopite,Phlogopite,A manganese-bearing variety of phlogopite.
Manganoan Pickeringite,Pickeringite,A variety of Pickeringite
Manganoan Siderite,Siderite,A variety of Siderite
Manganoan Stilpnomelane,Stilpnomelane,A variety of Stilpnomelane
Manganoan Trilithionite,Trilithionite,A Manganoan variety of Trilithionite
Manganoan Vesuvianite,Vesuvianite,Manganese-bearing variety of Vesuvianite
Manganoblödite,Blödite,For the chemical composition of the M 2+ structural site and relationship to blödite.
Manganochromite,Magnesiochromite,"For MANGANese in its composition, and relation to magnesiochromite."
Manganocolumbite,Columbite,"The name refers to the relationship to the other columbite group species, with dominant manganese"
Manganocummingtonite,Cummingtonite,In allusion to the dominance of Mn in the composition and its relationship to cummingtonite.
Manganoeudialyte,Eudialyte,As a member of the eudialyte group with dominant manganese in the M2 structural sites and silicon dominant in M3 and M4 sites.
Manganogrunerite,Grunerite,"Named as manganogrunerite for its relationship to grunerite. In order to better distinguish between amphibole end-member member compositions, the CNMNC has decided to rename manganogrunerite. The new name is clino-ferro-suenoite"
Manganohörnesite,Hörnesite,For the dominant manganese content and its relation to hörnesite.
Manganokaskasite,Kaskasite,As the manganese analog of kaskaite.
Manganokhomyakovite,Khomyakovite,As the manganese analog of homyakovite.
Manganokukisvumite,Kukisvumite,As the manganese-dominant analogue of kukisvumite.
Manganolangbeinite,Langbeinite,As a manganese compound analogous to langbeinite.
Manganomelane,,Due to its chemical composition
Manganonaujakasite,Naujakasite,In allusion to the dominance of manganese in the composition and its relationship with Naujakasite.
Manganoneptunite,Neptunite,For the preponderance of manganese in this chemical variant of the neptunite structure.
Manganonordite-(Ce),Nordite-(Ce),Named as the Mn++ dominant analogue of nordite-(Ce). Nordite series is named after the word for north because of its northern origin in the Lovozero Massif.
Manganoparawollastonite,Wollastonite,A Mn-bearing wollastonite.
Manganophyllite,Phyllite,A Mn-rich variety of Biotite (phyllosilicate mineral)
Manganoquadratite,Quadratite,For the essential manganese content and the close analogy of the formula and unit-cell dimensions with quadratite.
Manganosegelerite,Segelerite,As the manganese analog of segelerite.
Manganoshadlunite,Shadlunite,The manganese-dominant equivalent of shadlunite
Manganosite,,As an oxide of manganese.
Manganosphaerite,,"For a manganese-bearing, ""mangano-"""
Manganostibite,,"For MANGANese and antimony, STIBium, in the composition."
Manganotychite,Tychite,As the manganese analog of tychite.
Manganous manganite,Manganite,The name refers to the relationship to the manganite
Manganoxydaluminit,,Due to chemical composition
Manganvesuvianite,Vesuvianite,"In allusion to the dominance of Mn3+ in the formula and its relationship to vesuvianite. The original ""manganvesuvianite"" from Harstigen, Langban District, Sweden is discredited as manganoan vesuvianite. The redefined Fe3+ analog of vesuvianite is not found at Langban."
Mazzite-Mg,Mazzite,"Named for its relationship to mazzite, with a suffix indicating the incorporation of magnesium"
Mazzite-Na,Mazzite,"Named for its relationship to mazzite, with a suffix indicating the incorporation of sodium rather than magnesium."
Megakalsilite,Kalsilite,"Named in allusion to the size of the Z value since it shares the same chemical formula with kalsilite, but its unit cell is 12 times larger."
Melanarsite,,The name reflects belonging of the mineral to arsenates
Melanocerite-(Ce),,For Cerium
Melanostibite,,"For antimony, STIBium, in its composition."
Melanovanadite,,for the VANADium in the composition.
Meliphanite,Leucophanite,For the chemical relation to leucophanite.
Mellizinkalite,,"For species-defining cations, zinc and potassium."
Mendeleevite-(Ce),Mendeleevite Group,As a Ce analogue of Mendeleevite
Mendeleevite-(Nd),Mendeleevite Group,As a Nd analogue of Mendeleevite
Mendozavilite-KCa,Mendozavilite,As a KCa member of mendozavilite group
Mendozavilite-NaCu,Mendozavilite,As a NaCu member of mendozavilite group
Mendozavilite-NaFe,Mendozavilite,As a NaFe member of mendozavilite group
Mercurian Cadmoselite,Cadmoselite,A variety of Cadmoselite
Mercurian Gold,Gold,A variety of gold with a Mercury content of up to 15 weight percent.
Mercurian Sphalerite,Sphalerite,A mercury-bearing variety of sphalerite.
Mercurian Tennantite,Tennantite,A mercury-bearing variety of tennantite.
Mercurian Tetrahedrite,Tetrahedrite,A mercury-bearing variety of tetrahedrite.
Mercuroan Bromargyrite,Bromargyrite,A variety of Bromargyrite
Mesotype,Mesolite,Due to chemical similarity to mesolite
Meta-aluminite,Aluminite,"The prefix, from the Greek meta, indicates a lower hydrate than aluminite."
Meta-alunogen,Alunogen,"For meta, indicating a lower hydrate, and alunogen."
Meta-ankoleite,,"For ""meta-"" suggesting a level of hydration of the mineral"
Meta-autunite,Autunite,The prefix meta indicates the dehydration product of autunite.
Meta-jarlite,Jarlite,"A variety of Jarlite containing some Mg, Ca, and Ba in substitution for Sr."
Meta-uranocircite II,Uranocircite,Named for the composition and its relation to Uranocircite
Metaberyllite,Beryllite,Formerly considered a lower hydrate of Beryllite.
Metaborite,,"From the Greek meta, as a lesser hydrate than orthoboric acid."
Metacalciouranoite,Calciouranoite,Named from meta 'change' and calciouranoite indicating it's lower hydrate content.
Metacinnabar,Cinnabar,"From the Greek for with, plus cinnabar, in allusion to its common association."
Metadelrioite,Delrioite,For its relation to delrioite and its lesser H2O content.
Metahaiweeite,Haiweeite,Dehydration product of haiweeite.
Metaheinrichite,Heinrichite,The prefix meta indicates the dehydration product of heinrichite.
Metahewettite,Hewettite,For its relation to hewettite and its lesser H2O content.
Metahohmannite,Hohmannite,"The prefix, from the Greek, meta, indicates a lower hydrate than hohmannite."
Metakahlerite,Kahlerite,The prefix meta indicates the dehydration product of kahlerite.
Metakirchheimerite,,The prefix meta indicates membership of this species in the meta-autunite group
Metaköttigite,Metavivianite,"For its dimorphous relation to köttigite, and by analogy to metavivianite."
Metalodèvite,,The prefix meta indicates membership in the meta-autunite group
Metamunirite,Munirite,"For its relation to munirite, from which it may form by dehydration."
Metanatroautunite,Sodium Autunite,"The prefix meta indicates the dehydration product of 'sodium autunite', the transitory sodium analog of meta-autunite."
Metanováčekite,Nováčekite,The prefix meta indicates the dehydration product of nováčekite.
Metarauchite,Rauchite,Dehydrated analogue of rauchite.
Metarossite,Rossite,"For its relation to rossite, from which it may form by dehydration."
Metasaléeite,Saléeite,A member of the Meta-autunite group. The lower hydrate of Saléeite.
Metaschoderite,Schoderite,The prefix meta indicates the dehydration product of schoderite.
Metaschoepite,Schoepite,"From the Greek meta, for a lower hydration state, and its relation to schoepite."
Metasideronatrite,Sideronatrite,"From the Greek meta, signifying a lower hydrate, and its relation to sideronatrite."
Metastibnite,Stibnite,"From the Greek for with, plus stibnite, in allusion to its composition."
Metastudtite,Studtite,As a dehydration product of studtite.
Metaswitzerite,Switzerite,Emphasizes the close chemical and structural relations to switzerite.
Metatamboite,Tamboite,"Closely related to tamboite, which is a trihydrate equivalent of metatamboite; chemically somewhat similar to poughite. The hydroxytellurate group in tamboite and metatamboite seems to be unique among minerals."
Metathénardite,Thénardite,"A name applied to a high-temperature, hexagonal polymorph of Na2SO4."
Metatorbernite,Torbernite,The prefix meta indicates the dehydration product of torbernite.
Metatriplite,Triplite,An altered Triplite.
Metatyuyamunite,Tyuyamunite,The prefix meta indicates the dehydration product of tyuyamunite.
Metauramphite,Uramphite,As a dehydration product of uramphite. A doubtful mineral.
Metauranocircite-I,Uranocircite,"The prefix meta indicates the dehydration product of 'uranocircite', named for its content of uranium, and from the Greek for falcon, for its occurrence at the Falkenstein, Germany."
Metauranopilite,Uranopilite,"From the Greek meta, for a lower hydrate, and its relation to uranopilite."
Metauranospinite,Uranospinite,The prefix meta indicates the dehydration product of uranospinite.
Metauroxite,Uroxite,The lower hydrate counterpart of uroxite.
Metavandendriesscheite,Vandendriesscheite,As a dehydration product of vandendriesscheite.
Metavanmeersscheite,Vanmeersscheite,The prefix meta indicates the dehydration product of vanmeersscheite.
Metavanuralite,Vanuralite,The prefix meta indicates the dehydration product of vanuralite.
Metavariscite,Variscite,For the dimorphous relation with variscite.
Metavauxite,Vauxite,In allusion to the chemical relation to vauxite.
Metavivianite,Vivianite,The prefix meta indicates the dehydration product of vivianite.
Metavoltine,Voltaite,"From the Greek for with and voltaite, as originally associated with that species."
Metazellerite,Zellerite,"From the Greek meta, for a lower hydrate of zellerite."
